Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeWPassOnly,Chrome 70.0.3538.77,,2018-11-09 14:45:20,2018-11-09 14:46:37,1m - 16.286s,FAILED
,,,,,,
Test Cases/TC_MakeAppt,Chrome 70.0.3538.77,,2018-11-09 14:45:25,2018-11-09 14:45:54,29.407s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 14:45:32,2018-11-09 14:45:47,14.552s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 14:45:47,2018-11-09 14:45:48,1.573s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:45:48,2018-11-09 14:45:49,0.828s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:45:49,2018-11-09 14:45:50,0.559s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-09 14:45:50,2018-11-09 14:45:50,0.672s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:45:50,2018-11-09 14:45:51,0.385s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-09 14:45:51,2018-11-09 14:45:51,0.542s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:45:51,2018-11-09 14:45:52,0.196s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:45:52,2018-11-09 14:45:52,0.168s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:45:52,2018-11-09 14:45:52,0.508s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:45:52,2018-11-09 14:45:53,0.432s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:45:53,2018-11-09 14:45:53,0.398s,PASSED
click,Chrome 70.0.3538.77,,2018-11-09 14:45:53,2018-11-09 14:45:53,0.358s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-09 14:45:53,2018-11-09 14:45:54,1.051s,PASSED
,,,,,,
Test Cases/TC_GoogleSearch,Chrome 70.0.3538.77,,2018-11-09 14:45:55,2018-11-09 14:46:35,40.703s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-09 14:46:00,2018-11-09 14:46:02,2.099s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-09 14:46:02,2018-11-09 14:46:03,0.913s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-09 14:46:03,2018-11-09 14:46:35,31.920s,FAILED
