Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest,Chrome 70.0.3538.77,,2018-11-01 15:00:58,2018-11-01 15:02:44,1m - 46.443s,FAILED
,,,,,,
Test Cases/TC_GoogleSearch - ForceTCFailure,Chrome 70.0.3538.77,,2018-11-01 15:01:04,2018-11-01 15:01:41,36.401s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-01 15:01:15,2018-11-01 15:01:36,21.089s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 15:01:36,2018-11-01 15:01:37,1.119s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 15:01:37,2018-11-01 15:01:38,1.174s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 15:01:38,2018-11-01 15:01:40,1.500s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-01 15:01:40,2018-11-01 15:01:41,1.023s,PASSED
,,,,,,
Test Cases/TC_MakeAppt,Chrome 70.0.3538.77,,2018-11-01 15:01:41,2018-11-01 15:01:57,16.695s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-01 15:01:48,2018-11-01 15:01:51,2.115s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 15:01:51,2018-11-01 15:01:52,1.748s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 15:01:52,2018-11-01 15:01:53,0.464s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 15:01:53,2018-11-01 15:01:53,0.302s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-01 15:01:53,2018-11-01 15:01:54,0.620s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 15:01:54,2018-11-01 15:01:54,0.541s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 15:01:54,2018-11-01 15:01:55,0.501s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 15:01:55,2018-11-01 15:01:55,0.149s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 15:01:55,2018-11-01 15:01:55,0.163s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 15:01:55,2018-11-01 15:01:55,0.414s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 15:01:55,2018-11-01 15:01:56,0.344s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 15:01:56,2018-11-01 15:01:56,0.335s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 15:01:56,2018-11-01 15:01:56,0.340s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-01 15:01:56,2018-11-01 15:01:57,0.854s,PASSED
,,,,,,
Test Cases/TC_GoogleSearch,Chrome 70.0.3538.77,,2018-11-01 15:01:57,2018-11-01 15:02:43,45.219s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-01 15:02:07,2018-11-01 15:02:09,2.189s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 15:02:09,2018-11-01 15:02:11,1.726s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 15:02:11,2018-11-01 15:02:43,31.867s,FAILED
